,DE_LU_GEO,ES_GEO
2020-10-24,2061.0,0.0
2020-10-25,1978.0,0.0
2020-10-26,1826.0,0.0
2020-10-27,1826.0,0.0
2020-10-28,1726.0,0.0
2020-10-29,1695.0,0.0
2020-10-30,1629.0,0.0
2020-10-31,1683.0,0.0
2020-11-01,1679.0,0.0
2020-11-02,1487.0,0.0
2020-11-03,1554.0,0.0
2020-11-04,1712.0,0.0
2020-11-05,1870.0,0.0
2020-11-06,1931.0,0.0
2020-11-07,2049.0,0.0
2020-11-08,2347.0,0.0
2020-11-09,2477.0,0.0
2020-11-10,2706.0,0.0
2020-11-11,2654.0,0.0
2020-11-12,2613.0,0.0
2020-11-13,2522.0,0.0
2020-11-14,2559.0,0.0
2020-11-15,2607.0,0.0
2020-11-16,2484.0,0.0
2020-11-17,2551.0,0.0
2020-11-18,2649.0,0.0
2020-11-19,2552.0,0.0
2020-11-20,2748.0,0.0
2020-11-21,2820.0,0.0
2020-11-22,2777.0,0.0
2020-11-23,2673.0,0.0
2020-11-24,2612.0,0.0
2020-11-25,2568.0,0.0
2020-11-26,2599.0,0.0
2020-11-27,2579.0,0.0
2020-11-28,2459.0,0.0
2020-11-29,2579.0,0.0
2020-11-30,2719.0,0.0
2020-12-01,2838.0,0.0
2020-12-02,2806.0,0.0
2020-12-03,2843.0,0.0
2020-12-04,2716.0,0.0
2020-12-05,2788.0,0.0
2020-12-06,2516.0,0.0
2020-12-07,2697.0,0.0
2020-12-08,2771.0,0.0
2020-12-09,2768.0,0.0
2020-12-10,2826.0,0.0
2020-12-11,2836.0,0.0
2020-12-12,2786.0,0.0
2020-12-13,2742.0,0.0
2020-12-14,2797.0,0.0
2020-12-15,2775.0,0.0
2020-12-16,2814.0,0.0
2020-12-17,2715.0,0.0
2020-12-18,2823.0,0.0
2020-12-19,2894.0,0.0
2020-12-20,2878.0,0.0
2020-12-21,2512.0,0.0
2020-12-22,2222.0,0.0
2020-12-23,2264.0,0.0
2020-12-24,2526.0,0.0
2020-12-25,2726.0,0.0
2020-12-26,2816.0,0.0
2020-12-27,2633.0,0.0
2020-12-28,2683.0,0.0
2020-12-29,2748.0,0.0
2020-12-30,2774.0,0.0
2020-12-31,2813.0,0.0
2021-01-01,2847.0,0.0
2021-01-02,2850.0,0.0
2021-01-03,2831.0,0.0
2021-01-04,2701.0,0.0
2021-01-05,2698.0,0.0
2021-01-06,2092.0,0.0
2021-01-07,2250.0,0.0
2021-01-08,2248.0,0.0
2021-01-09,2292.0,0.0
2021-01-10,2302.0,0.0
2021-01-11,2308.0,0.0
2021-01-12,2148.0,0.0
2021-01-13,2157.0,0.0
2021-01-14,2192.0,0.0
2021-01-15,2146.0,0.0
2021-01-16,2256.0,0.0
2021-01-17,2166.0,0.0
2021-01-18,2004.0,0.0
2021-01-19,2223.0,0.0
2021-01-20,2276.0,0.0
2021-01-21,2161.0,0.0
2021-01-22,2125.0,0.0
2021-01-23,2229.0,0.0
2021-01-24,2318.0,0.0
2021-01-25,2315.0,0.0
2021-01-26,2264.0,0.0
2021-01-27,2459.0,0.0
2021-01-28,2244.0,0.0
2021-01-29,2093.0,0.0
2021-01-30,2372.0,0.0
2021-01-31,2535.0,0.0
2021-02-01,2501.0,0.0
2021-02-02,2412.0,0.0
2021-02-03,2358.0,0.0
2021-02-04,2557.0,0.0
2021-02-05,2640.0,0.0
2021-02-06,2833.0,0.0
2021-02-07,2861.0,0.0
2021-02-08,2880.0,0.0
2021-02-09,2968.0,0.0
2021-02-10,2995.0,0.0
2021-02-11,2718.0,0.0
2021-02-12,2879.0,0.0
2021-02-13,2870.0,0.0
2021-02-14,3010.0,0.0
2021-02-15,2997.0,0.0
2021-02-16,2621.0,0.0
2021-02-17,2509.0,0.0
2021-02-18,2851.0,0.0
2021-02-19,2925.0,0.0
2021-02-20,2916.0,0.0
2021-02-21,2986.0,0.0
2021-02-22,2919.0,0.0
2021-02-23,2609.0,0.0
2021-02-24,2460.0,0.0
2021-02-25,2539.0,0.0
2021-02-26,2572.0,0.0
2021-02-27,3019.0,0.0
2021-02-28,2801.0,0.0
2021-03-01,2463.0,0.0
2021-03-02,2428.0,0.0
2021-03-03,2373.0,0.0
2021-03-04,2275.0,0.0
2021-03-05,2435.0,0.0
2021-03-06,2854.0,0.0
2021-03-07,2853.0,0.0
2021-03-08,2835.0,0.0
2021-03-09,2903.0,0.0
2021-03-10,2835.0,0.0
2021-03-11,2667.0,0.0
2021-03-12,2793.0,0.0
2021-03-13,2745.0,0.0
2021-03-14,2901.0,0.0
2021-03-15,2847.0,0.0
2021-03-16,2851.0,0.0
2021-03-17,2916.0,0.0
2021-03-18,2923.0,0.0
2021-03-19,2946.0,0.0
2021-03-20,2968.0,0.0
2021-03-21,2882.0,0.0
2021-03-22,2830.0,0.0
2021-03-23,2820.0,0.0
2021-03-24,2773.0,0.0
2021-03-25,2713.0,0.0
2021-03-26,2717.0,0.0
2021-03-27,2793.0,0.0
2021-03-28,2789.0,0.0
2021-03-29,2619.0,0.0
2021-03-30,2484.0,0.0
2021-03-31,2505.0,0.0
2021-04-01,2385.0,0.0
2021-04-02,2701.0,0.0
2021-04-03,2883.0,0.0
2021-04-04,2464.0,0.0
2021-04-05,2167.0,0.0
2021-04-06,2475.0,0.0
2021-04-07,2405.0,0.0
2021-04-08,2076.0,0.0
2021-04-09,1920.0,0.0
2021-04-10,1876.0,0.0
2021-04-11,1789.0,0.0
2021-04-12,1925.0,0.0
2021-04-13,2106.0,0.0
2021-04-14,2074.0,0.0
2021-04-15,2053.0,0.0
2021-04-16,2054.0,0.0
2021-04-17,2028.0,0.0
2021-04-18,1665.0,0.0
2021-04-19,1664.0,0.0
2021-04-20,1676.0,0.0
2021-04-21,1702.0,0.0
2021-04-22,2193.0,0.0
2021-04-23,2327.0,0.0
2021-04-24,2253.0,0.0
2021-04-25,2316.0,0.0
2021-04-26,2455.0,0.0
2021-04-27,2383.0,0.0
2021-04-28,2214.0,0.0
2021-04-29,2112.0,0.0
2021-04-30,2075.0,0.0
2021-05-01,2080.0,0.0
2021-05-02,2479.0,0.0
2021-05-03,2227.0,0.0
2021-05-04,1963.0,0.0
2021-05-05,2169.0,0.0
2021-05-06,2361.0,0.0
2021-05-07,2537.0,0.0
2021-05-08,2530.0,0.0
2021-05-09,2071.0,0.0
2021-05-10,1876.0,0.0
2021-05-11,2331.0,0.0
2021-05-12,2554.0,0.0
2021-05-13,2388.0,0.0
2021-05-14,2315.0,0.0
2021-05-15,2452.0,0.0
2021-05-16,2462.0,0.0
2021-05-17,2463.0,0.0
2021-05-18,2319.0,0.0
2021-05-19,2602.0,0.0
2021-05-20,2545.0,0.0
2021-05-21,2444.0,0.0
2021-05-22,2486.0,0.0
2021-05-23,2589.0,0.0
2021-05-24,2320.0,0.0
2021-05-25,2341.0,0.0
