,OECDplus6_WIP
2021-03-12,136.9894303934594
2021-03-13,136.9894303934594
2021-03-14,136.9894303934594
2021-03-15,136.9894303934594
2021-03-16,136.9894303934594
2021-03-17,136.9894303934594
2021-03-18,136.9894303934594
2021-03-19,136.9894303934594
2021-03-20,136.9894303934594
2021-03-21,136.9894303934594
2021-03-22,136.9894303934594
2021-03-23,136.9894303934594
2021-03-24,136.9894303934594
2021-03-25,136.9894303934594
2021-03-26,136.9894303934594
2021-03-27,136.9894303934594
2021-03-28,136.9894303934594
2021-03-29,136.9894303934594
2021-03-30,136.9894303934594
2021-03-31,136.9894303934594
2021-04-01,137.23265166746748
2021-04-02,137.23265166746748
2021-04-03,137.23265166746748
2021-04-04,137.23265166746748
2021-04-05,137.23265166746748
2021-04-06,137.23265166746748
2021-04-07,137.23265166746748
2021-04-08,137.23265166746748
2021-04-09,137.23265166746748
2021-04-10,137.23265166746748
2021-04-11,137.23265166746748
2021-04-12,137.23265166746748
2021-04-13,137.23265166746748
2021-04-14,137.23265166746748
2021-04-15,137.23265166746748
2021-04-16,137.23265166746748
2021-04-17,137.23265166746748
2021-04-18,137.23265166746748
2021-04-19,137.23265166746748
2021-04-20,137.23265166746748
2021-04-21,137.23265166746748
2021-04-22,137.23265166746748
2021-04-23,137.23265166746748
2021-04-24,137.23265166746748
2021-04-25,137.23265166746748
2021-04-26,137.23265166746748
2021-04-27,137.23265166746748
2021-04-28,137.23265166746748
2021-04-29,137.23265166746748
2021-04-30,137.23265166746748
2021-05-01,135.45460918997063
2021-05-02,135.45460918997063
2021-05-03,135.45460918997063
2021-05-04,135.45460918997063
2021-05-05,135.45460918997063
2021-05-06,135.45460918997063
2021-05-07,135.45460918997063
2021-05-08,135.45460918997063
2021-05-09,135.45460918997063
2021-05-10,135.45460918997063
2021-05-11,135.45460918997063
2021-05-12,135.45460918997063
2021-05-13,135.45460918997063
2021-05-14,135.45460918997063
2021-05-15,135.45460918997063
2021-05-16,135.45460918997063
2021-05-17,135.45460918997063
2021-05-18,135.45460918997063
2021-05-19,135.45460918997063
2021-05-20,135.45460918997063
2021-05-21,135.45460918997063
2021-05-22,135.45460918997063
2021-05-23,135.45460918997063
2021-05-24,135.45460918997063
2021-05-25,135.45460918997063
2021-05-26,135.45460918997063
2021-05-27,135.45460918997063
2021-05-28,135.45460918997063
2021-05-29,135.45460918997063
2021-05-30,135.45460918997063
2021-05-31,135.45460918997063
2021-06-01,137.63156641044188
2021-06-02,137.63156641044188
2021-06-03,137.63156641044188
2021-06-04,137.63156641044188
2021-06-05,137.63156641044188
2021-06-06,137.63156641044188
2021-06-07,137.63156641044188
2021-06-08,137.63156641044188
2021-06-09,137.63156641044188
2021-06-10,137.63156641044188
2021-06-11,137.63156641044188
2021-06-12,137.63156641044188
2021-06-13,137.63156641044188
2021-06-14,137.63156641044188
2021-06-15,137.63156641044188
2021-06-16,137.63156641044188
2021-06-17,137.63156641044188
2021-06-18,137.63156641044188
2021-06-19,137.63156641044188
2021-06-20,137.63156641044188
2021-06-21,137.63156641044188
2021-06-22,137.63156641044188
2021-06-23,137.63156641044188
2021-06-24,137.63156641044188
2021-06-25,137.63156641044188
2021-06-26,137.63156641044188
2021-06-27,137.63156641044188
2021-06-28,137.63156641044188
2021-06-29,137.63156641044188
2021-06-30,137.63156641044188
2021-07-01,137.425563478336
2021-07-02,137.425563478336
2021-07-03,137.425563478336
2021-07-04,137.425563478336
2021-07-05,137.425563478336
2021-07-06,137.425563478336
2021-07-07,137.425563478336
2021-07-08,137.425563478336
2021-07-09,137.425563478336
2021-07-10,137.425563478336
