,DE_LU_BIO,FR_BIO,IT_NORD_BIO,ES_BIO
2020-03-09,464848.0,7558.0,4338.0,9410.0
2020-03-10,464968.0,8004.0,4686.0,10071.0
2020-03-11,463059.0,8007.0,4711.0,9021.0
2020-03-12,462935.0,8038.0,4606.0,8434.0
2020-03-13,435715.0,8073.0,4690.0,9625.0
2020-03-14,442727.0,7948.0,4205.0,10371.0
2020-03-15,462630.0,7785.0,4376.0,10008.0
2020-03-16,459335.0,7381.0,4237.0,10102.0
2020-03-17,457054.0,7545.0,4345.0,10420.0
2020-03-18,455247.0,7774.0,4813.0,9322.0
2020-03-19,457172.0,7967.0,4948.0,9406.0
2020-03-20,459468.0,8038.0,4846.0,9619.0
2020-03-21,451757.0,8035.0,4802.0,8627.0
2020-03-22,460898.0,7984.0,4803.0,8246.0
2020-03-23,456057.0,7969.0,4770.0,8284.0
2020-03-24,455906.0,7992.0,5358.0,8384.0
2020-03-25,455339.0,8023.0,5488.0,8670.0
2020-03-26,456017.0,7972.0,5243.0,9497.0
2020-03-27,458533.0,7992.0,5071.0,9880.0
2020-03-28,461747.0,7994.0,5076.0,10382.0
2020-03-29,461418.0,7673.0,5079.0,9806.0
2020-03-30,458863.0,8037.0,4974.0,10310.0
2020-03-31,457628.0,8012.0,5049.0,9568.0
2020-04-01,458629.0,7996.0,4905.0,8898.0
2020-04-02,459420.0,7993.0,4740.0,6846.0
2020-04-03,460179.0,7998.0,3876.0,7751.0
2020-04-04,461235.0,7997.0,3836.0,9160.0
2020-04-05,459202.0,8005.0,4805.0,8169.0
2020-04-06,459654.0,7978.0,4836.0,8504.0
2020-04-07,453534.0,7541.0,5049.0,8824.0
2020-04-08,446263.0,7935.0,5038.0,6934.0
2020-04-09,456577.0,8005.0,4898.0,9617.0
2020-04-10,455191.0,7988.0,4867.0,9344.0
2020-04-11,455868.0,8020.0,3982.0,9303.0
2020-04-12,455223.0,7973.0,4594.0,8935.0
2020-04-13,450534.0,8031.0,4984.0,9151.0
2020-04-14,449047.0,7764.0,4962.0,9026.0
2020-04-15,445760.0,7738.0,5042.0,8713.0
2020-04-16,441187.0,7809.0,4985.0,8494.0
2020-04-17,442972.0,8026.0,4979.0,8291.0
2020-04-18,443451.0,7999.0,4824.0,9034.0
2020-04-19,442001.0,8001.0,4599.0,8878.0
2020-04-20,438947.0,8012.0,4308.0,8262.0
2020-04-21,440350.0,8025.0,4291.0,8522.0
2020-04-22,453758.0,8018.0,4267.0,8990.0
2020-04-23,451754.0,8001.0,4604.0,9892.0
2020-04-24,449622.0,8005.0,4559.0,10105.0
2020-04-25,456065.0,8056.0,4602.0,10464.0
2020-04-26,458694.0,8049.0,4505.0,10470.0
2020-04-27,452361.0,8015.0,4364.0,10265.0
2020-04-28,442302.0,8078.0,4369.0,10211.0
2020-04-29,445041.0,7931.0,4446.0,8903.0
2020-04-30,454346.0,7776.0,4542.0,9887.0
2020-05-01,456526.0,7974.0,4558.0,10180.0
2020-05-02,456240.0,7941.0,4624.0,9872.0
2020-05-03,456433.0,7956.0,4672.0,9324.0
2020-05-04,454313.0,8050.0,4644.0,9088.0
2020-05-05,455756.0,8119.0,4151.0,10558.0
2020-05-06,456742.0,8040.0,4553.0,10939.0
2020-05-07,457879.0,8110.0,4521.0,10963.0
2020-05-08,455952.0,8098.0,4439.0,10861.0
2020-05-09,456541.0,8076.0,4361.0,10545.0
2020-05-10,456117.0,8027.0,4401.0,10506.0
2020-05-11,454852.0,7997.0,4592.0,9417.0
2020-05-12,455048.0,8074.0,4949.0,10539.0
2020-05-13,456212.0,8041.0,4937.0,10358.0
2020-05-14,456444.0,8062.0,4976.0,10883.0
2020-05-15,455482.0,8065.0,5054.0,10666.0
2020-05-16,456097.0,8072.0,5207.0,10397.0
2020-05-17,454703.0,8054.0,5155.0,10619.0
2020-05-18,447102.0,8065.0,4875.0,11750.0
2020-05-19,447005.0,7711.0,4655.0,11984.0
2020-05-20,446514.0,7806.0,4865.0,11632.0
2020-05-21,452890.0,8055.0,5047.0,10650.0
2020-05-22,450386.0,7912.0,5012.0,6501.0
2020-05-23,454073.0,7757.0,4754.0,6372.0
2020-05-24,454758.0,7748.0,4862.0,6076.0
2020-05-25,454912.0,7606.0,4616.0,10090.0
2020-05-26,452452.0,7587.0,4329.0,12578.0
2020-05-27,450773.0,7537.0,4495.0,12571.0
2020-05-28,451766.0,7513.0,4741.0,12324.0
2020-05-29,453002.0,7492.0,4612.0,8225.0
2020-05-30,451266.0,7514.0,4385.0,6591.0
2020-05-31,448346.0,7587.0,4004.0,6389.0
2020-06-01,445730.0,7729.0,3954.0,6848.0
2020-06-02,442152.0,7633.0,3920.0,8167.0
2020-06-03,444313.0,7530.0,3974.0,9912.0
2020-06-04,446754.0,7977.0,4121.0,10883.0
2020-06-05,450139.0,8131.0,4044.0,10995.0
2020-06-06,437207.0,8035.0,4336.0,11049.0
2020-06-07,422297.0,8073.0,4579.0,11416.0
2020-06-08,420331.0,7911.0,4700.0,11471.0
2020-06-09,418160.0,7656.0,4874.0,11102.0
2020-06-10,418071.0,7638.0,4855.0,11954.0
2020-06-11,415520.0,7719.0,4839.0,11406.0
2020-06-12,414013.0,8445.0,4732.0,11821.0
2020-06-13,413276.0,8414.0,4502.0,12435.0
2020-06-14,416562.0,8316.0,4669.0,11652.0
2020-06-15,402023.0,8177.0,4584.0,11139.0
2020-06-16,392529.0,7832.0,4251.0,11749.0
2020-06-17,405852.0,7754.0,4089.0,11656.0
2020-06-18,428501.0,8243.0,4098.0,12012.0
2020-06-19,426138.0,8196.0,3970.0,11956.0
2020-06-20,424986.0,8180.0,4148.0,11463.0
2020-06-21,424757.0,7836.0,3980.0,10834.0
2020-06-22,423838.0,8187.0,3964.0,9987.0
